accuracy,balanced_accuracy,precision,recall,f1,specificity,roc_auc,pr_auc,tn,fp,fn,tp,unclassified,model,fold
0.7164679215531684,0.7485968090601081,0.3026173772261198,0.7931400282885431,0.43808593749999997,0.704053589831673,0.8284966986172042,0.4261409679067127,12297,5169,585,2243,0,Random Forest (B),8
0.7182418448802602,0.7528872623975358,0.305256064690027,0.8009193776520509,0.4420374707259953,0.7048551471430208,0.8298671121958346,0.43259131496795156,12311,5155,563,2265,0,Random Forest (B),9
0.7158766137774711,0.7426225832820315,0.30008165487207406,0.7797029702970297,0.43337264150943405,0.7055421962670331,0.8216604019188787,0.4252459206245738,12323,5143,623,2205,0,Random Forest (B),10
0.7178122690317812,0.7110000681017483,0.2889180136886559,0.7015558698727016,0.40928313563692625,0.7204442663307952,0.7773045194377047,0.34519063007187406,12584,4883,844,1984,0,Gaussian Naive Bayes (B),1
0.7249568859324957,0.7178179560098334,0.29624149156555196,0.7079207920792079,0.41769246818276656,0.7277151199404591,0.7845668906952363,0.34192094561656117,12711,4756,826,2002,0,Gaussian Naive Bayes (B),2
0.7283074648928307,0.7178381699205834,0.29846938775510207,0.7033239038189534,0.4190897597977244,0.7323524360222133,0.7884485790096483,0.3457284562070255,12792,4675,839,1989,0,Gaussian Naive Bayes (B),3
0.7258438038925844,0.7178886793921113,0.29685179685179686,0.7068599717114569,0.41811336540472704,0.7289173870727658,0.7849530199157531,0.336380843856119,12732,4735,829,1999,0,Gaussian Naive Bayes (B),4
0.7219867941263428,0.713528683701677,0.2924959457467197,0.7018040325433321,0.41290322580645156,0.7252533348600217,0.7841460664143081,0.33402456355061716,12668,4799,843,1984,0,Gaussian Naive Bayes (B),5
0.7282940770671135,0.7191198627746345,0.2989073491992217,0.7064025468694729,0.42006731173748424,0.7318371786797961,0.7879762209232635,0.34482219702404404,12783,4684,830,1997,0,Gaussian Naive Bayes (B),6
0.7248940573568542,0.7205542417660031,0.2972336668628605,0.7145383799080297,0.4198274966226749,0.7265701036239767,0.7850620693417749,0.3382568558665534,12691,4776,807,2020,0,Gaussian Naive Bayes (B),7
0.7216418645905194,0.7203374395936919,0.29513435003631083,0.7185289957567186,0.41840831874806955,0.7221458834306653,0.787091036114457,0.34218901298828014,12613,4853,796,2032,0,Gaussian Naive Bayes (B),8
0.7246476791169804,0.7192683388425214,0.29664014146772766,0.7118104667609618,0.41876430205949655,0.7267262109240811,0.7870900035972093,0.3510164353013492,12693,4773,815,2013,0,Gaussian Naive Bayes (B),9
0.720853454222923,0.7121742367592012,0.29130498749448286,0.7001414427157001,0.4114285714285714,0.7242070308027024,0.7817403900178013,0.3413577367076369,12649,4817,848,1980,0,Gaussian Naive Bayes (B),10
0.7317073170731707,0.7269258664287451,0.3044387983858915,0.7202970297029703,0.4279861329971636,0.73355470315452,0.7992866868207894,0.36612006540455466,12813,4654,791,2037,0,Logistic Regression (C),1
0.7367824587336782,0.7409876324471711,0.3134461264470169,0.7468175388967468,0.4415638720468325,0.7351577259975954,0.8129931860192373,0.3919952582701288,12841,4626,716,2112,0,Logistic Regression (C),2
0.7431879773343188,0.7436716895687475,0.3192296026690931,0.7443422913719944,0.4468265760984929,0.7430010877655007,0.8157215882299449,0.39440722355005087,12978,4489,723,2105,0,Logistic Regression (C),3
